ACTINIUM	89	Ac	112	171	250
6P	0	3.21	0.01102	0.008473	
4D	0	0	0.5116	0.4151	
5D	0	0	0.1147	0.08778	
6D	4.143	0.7042	0.001028	0.0007798	
4F	0	0	1.188	0.7617	
5F	0.7113	6.266	0.02982	0.01962	
-					
NICKEL	28	Ni	80	208	80
2S	0	0	0.09374	0.07142	
3S	0	0	0.01669	0.0121	
4S	0.09517	0.1271	0.001046	0.0007537	
2P	0	0	0.4691	0.2998	
3P	0	0	0.04539	0.02958	
3D	3.972	8.423	0.01006	0.005501	
asymmetry					
2S	2	2	2	2	
3S	2	2	2	2	
4S	2	2	2	2	
2P	0	0	1.396	1.446	
3P	0	0	1.536	1.493	
3D	-0.05243	0.01699	0.9906	0.9274	
-					
NIOBIUM	41	Nb	115	194	201
3S	0	0	0.04101	0.03069	
4S	0	0	0.007455	0.005471	
5S	0.04208	0.03743	0.0002761	0.0002099	
3P	0	0	0.1572	0.113	
4P	0	0	0.02216	0.01584	
3D	0	0	0.19	0.1124	
4D	22.08	4.677	0.004626	0.002803	
asymmetry					
3S	0	0	2	2	
4S	0	2	2	2	
5S	2	2	2	2	
3P	0	0	1.612	1.611	
4P	0	0	1.661	1.644	
3D	0	0	1.203	1.175	
4D	0.4158	1.141	1.228	1.185	
-					
NITROGEN	7	N	48	80	248
1S	0	0	0.03958	0.02451	
2S	0	1.086	0.001921	0.001192	
2P	9.664	4.336	0.0001655	0.00009072	
asymmetry					
1S	2	2	2	2	
2S	2	2	2	2	
2P	1.071	1.426	0.4775	0.4381	
-					
NOBELIUM	102	No	189	13	135
5S	0	0	0.02799	0.02125	
6S	0	0	0.005465	0.004136	
4P	0	0	0	0.1984	
5P	0	0	0.08516	0.06571	
6P	0	5.044	0.01341	0.01028	
4D	0	0	0.5732	0.4875	
5D	0	0	0.1558	0.1218	
6D	4.684	0.8682	0.001124	0.0008221	
4F	0	0	1.879	1.257	
5F	0	2.357	0.1782	0.1229	
-					
OSMIUM	76	Os	38	102	150
4S	0	0	0.04195	0.0323	
5S	0	0	0.008853	0.006696	
6S	0.05643	0.08333	0.0008144	0.0006043	
4P	0	0	0.1439	0.1123	
5P	0	0	0.02532	0.0191	
4D	0	0	0.327	0.2443	
5D	27.49	17.31	0.01744	0.0122	
4F	0	0	0.3095	0.1833	
-					
OXYGEN	8	O	255	13	13
1S	0	0	0.06354	0.04005	
2S	0	0.8342	0.002943	0.001902	
2P	10.69	6.816	0.0004842	0.0002602	
asymmetry					
1S	2.0	2.0	2.0	2.0	
2S	2.0	2.0	2.0	2.0	
2P	0.737	1.31	0.5852	0.5119	
-					
PALLADIUM	46	Pd	0	105	133
3S	0	0	0.05255	0.03988	
4S	0	0	0.01126	0.008193	
3P	0	0	0.2118	0.1564	
4P	0	0	0.03488	0.02533	
3D	0	0	0.3617	0.2197	
4D	25.94	32.49	0.0272	0.01716	
asymmetry					
3S	0	0	2	2	
4S	0	2	2	2	
5S	2	2	2	2	
3P	0	0	1.584	1.607	
4P	0	0	1.681	1.67	
3D	0	0	1.208	1.207	
4D	-0.09638	0.611	1.274	1.243	
-					
PHOSPHOROU	15	P	255	128	0
2S	0	0	0.02326	0.01603	
3S	0.1714	0.4538	0.002284	0.001471	
2P	0	0	0.02756	0.01621	
3P	1.232	0.5061	0.000844	0.0004998	
asymmetry					
2S	2	2	2	2	
3S	2	2	2	2	
2P	0	0	1.169	1.092	
3P	1.584	0.4839	1.128	1.051	
-					
